score,leaky_count,leaky_correct
1.5138333391635181,1385,1.0
1.2803730638299664,2004,1.0
1.1481083829382428,2398,1.0
1.050220122434321,2657,1.0
0.9918814479581582,2830,1.0
0.9515867140906366,2982,1.0
0.9031523707770402,3104,1.0
0.8549975037186879,3206,1.0
0.8245733808341503,3292,1.0
0.8047524120996332,3346,1.0
0.7902087610445926,3409,1.0
0.7750236774979403,3453,1.0
0.7572012810711838,3499,1.0
0.7418527237889105,3545,1.0
0.72417948400339,3583,1.0
0.7090863894067835,3612,1.0
0.6996525046151946,3632,1.0
0.6906038153451562,3657,1.0
0.680754484827073,3678,1.0
0.6712717441837431,3697,1.0
0.6605580396321671,3712,1.0
0.6484405349182527,3730,1.0
0.6386757156176119,3745,1.0
0.6340069994205764,3762,1.0
0.6267996789208595,3774,1.0
0.6252176984311115,3782,1.0
0.6228982541192981,3794,1.0
0.6161066152177948,3800,1.0
0.6111525000034896,3807,0.9997373259784608
0.6091793186823932,3813,0.999737739312877
0.6059807295990275,3818,0.999738082765846
0.6038472272390606,3820,0.999738219895288
0.6034914384636884,3825,0.9997385620915032
0.6013197726957271,3833,0.9997391077484998
0.5975830586662635,3838,0.9997394476289734
0.5967934202617026,3840,0.9997395833333333
0.5942998270112504,3840,0.9997395833333333
0.5942998270112504,3840,0.9997395833333333
